E Emin Emax F_invGeV_invsqmeter_inversec_invsr F_err_stat F_err_ana F_err_had
49.8 39.8 63.1 2.97e-1 0.00e-1 0.14e-1 0.20e-1 
78.9 63.1 100.0 8.43e-2 0.00e-2 0.40e-2 0.56e-2 
125.1 100.0	158.5 2.38e-2 0.00e-2 0.11e-2 0.16e-2
198.3 158.5	251.2 6.64e-3 0.00e-3 0.31e-3 0.44e-3
314.3 251.2	398.1 1.89e-3 0.00e-3 0.09e-3 0.12e-3 
498.1 398.1	631.0 5.39e-4 0.01e-4 0.25e-4 0.36e-4
789.5 631.0	1000 1.60e-4 0.00e-4 0.07e-4 0.11e-4 
1251 1000 1585 4.81e-5 0.01e-5 0.23e-5 0.33e-5
1983 1585 2512 1.45e-5 0.01e-5 0.07e-5 0.13e-5 
3143 2512 3981 4.45e-6 0.0e-6 0.21e-6 0.44e-6 
4981 3981 6310 1.36e-6 0.01e-6 0.06e-6 0.13e-6 
7895 6310 10000 4.06e-7 0.04e-7 0.19e-7 0.40e-7 
12512 10000	15849 1.20e-7 0.02e-7 0.06e-7 0.12e-7
19830 15849	25119 3.35e-8 0.07e-8 0.17e-8 0.33e-8 
31429 25119	39811 9.03e-9 0.26e-9 0.48e-9 0.89e-9 
49812 39811	63096 2.47e-9 0.11e-9 0.15e-9 0.24e-9 
78946 63096	100000 6.50e-10 0.40e-10 0.50e-10 0.64e-10
